location,lat,lon,temperature_C,humidity,pressure,wind_speed,description,timestamp
Ha Noi - Old Quarter,21.0333,105.85,19.96,84,1017,2.05,overcast clouds,1762267630
Ha Noi - My Dinh,21.0333,105.7667,20.03,84,1017,1.5,overcast clouds,1762267631
Ha Noi - Long Bien,21.05,105.9,20.04,84,1017,2.22,overcast clouds,1762267632
Ha Noi - West Lake,21.054,105.819,20.03,88,1017,1.03,overcast clouds,1762267635
Ha Noi - Hoan Kiem Lake,21.0285,105.8542,19.96,84,1017,2.05,overcast clouds,1762267630
Ha Noi - Dong Da,21.0167,105.8333,21,84,1017,1.91,overcast clouds,1762267219
Ha Noi - Hai Ba Trung,21.008,105.85,19.99,84,1017,2.06,overcast clouds,1762267639
Ha Noi - Gia Lam,21.033,105.9,20.03,84,1017,2.22,overcast clouds,1762267641
Ha Noi - Thanh Xuan,20.995,105.81,20.01,84,1017,1.78,overcast clouds,1762267549
Ha Noi - Cau Giay,21.035,105.79,21.01,84,1017,1.72,overcast clouds,1762267323
Ha Long - Bai Chay,20.95,107.0833,18.17,82,1017,1.1,overcast clouds,1762267645
Ha Long - Tuan Chau,20.94,107.05,17.55,83,1017,1.05,overcast clouds,1762267646
Ha Long - Hon Gai,20.96,107.1,18.02,83,1017,1.07,overcast clouds,1762267647
Ha Long - Sun World Park,20.955,107.09,18.17,82,1017,1.1,overcast clouds,1762267650
Hai Phong - City Center,20.8449,106.6881,18.97,88,1016,2.06,overcast clouds,1762267546
Hai Phong - Do Son Beach,20.6667,106.8,19.02,88,1017,2.06,overcast clouds,1762267655
Hai Phong - Cat Ba Island,20.8,107.05,17.46,84,1016,1.82,overcast clouds,1762267656
Ninh Binh - Trang An,20.25,105.9,17.53,86,1017,3.21,overcast clouds,1762267657
Ninh Binh - Tam Coc,20.2,105.9,17.84,86,1017,3.31,overcast clouds,1762267658
Ninh Binh - Bai Dinh Pagoda,20.25,105.86,17.85,86,1017,3.14,overcast clouds,1762267660
Sapa - Town,22.335,103.843,12.08,97,1018,0.94,overcast clouds,1762267661
Sapa - Fansipan Base,22.31,103.82,10.86,97,1018,1.07,overcast clouds,1762267662
Sapa - Cat Cat Village,22.33,103.85,12.08,97,1018,0.94,overcast clouds,1762267664
Ha Giang - City Center,22.8333,104.9833,17.57,92,1018,0.32,overcast clouds,1762267500
Ha Giang - Dong Van,23.2833,105.35,14.36,93,1018,1.13,overcast clouds,1762267667
Ha Giang - Ma Pi Leng Pass,23.25,105.4,12.18,92,1018,0.99,overcast clouds,1762267669
Lao Cai - City Center,22.4833,103.95,17.65,97,1018,0.09,overcast clouds,1762267670
Bac Kan - Ba Be Lake,22.4167,105.6333,17.48,90,1018,0.52,overcast clouds,1762267671
Hue - Citadel,16.4637,107.5909,21.05,94,1013,4.12,broken clouds,1762267672
Hue - Thuan An Beach,16.5,107.7,21.1,94,1013,4.12,broken clouds,1762267674
Hue - Lang Co,16.2667,107.8667,21.03,94,1013,1.77,overcast clouds,1762267675
Da Nang - My Khe Beach,16.0615,108.244,25,73,1012,1.54,broken clouds,1762267312
Da Nang - Ba Na Hills,16.0215,108.0022,20.21,90,1013,1.6,overcast clouds,1762267678
Da Nang - Son Tra Peninsula,16.1333,108.3,25.05,73,1012,1.54,broken clouds,1762267679
Da Nang - Marble Mountains,16.0,108.2667,24.97,73,1012,1.54,broken clouds,1762267681
Hoi An - Ancient Town,15.8801,108.338,25,83,1012,2.68,overcast clouds,1762267684
Hoi An - An Bang Beach,15.91,108.35,25.03,83,1012,3.15,overcast clouds,1762267685
Hoi An - Cua Dai Beach,15.9,108.4,25.05,83,1012,3.47,overcast clouds,1762267686
Quang Ngai - Ly Son Island,15.3833,109.1167,25.67,87,1012,8.23,broken clouds,1762267688
Quy Nhon - City Center,13.782,109.219,24.94,92,1011,4.31,overcast clouds,1762267689
Quy Nhon - Ky Co Beach,13.72,109.3,25.28,91,1011,5.57,overcast clouds,1762267690
Quy Nhon - Eo Gio,13.8,109.3,25.14,91,1011,5.66,overcast clouds,1762267692
Nha Trang - Tran Phu Beach,12.2388,109.1967,27.01,90,1010,1.93,broken clouds,1762267693
Nha Trang - Vinpearl,12.2,109.24,27.07,87,1010,3.22,broken clouds,1762267694
Nha Trang - Hon Mun Island,12.18,109.28,27.07,87,1010,4.06,broken clouds,1762267697
Phan Rang - City Center,11.5667,108.9833,25.81,91,1010,1.87,overcast clouds,1762267698
